stops_link,distance
72072_72076,0.3418
99973325_99972780,3.8886
82092_82090,0.1475
129152_106342,0.3068
85524_107274,0.1189
113166_113064,0.1143
102110_102112,0.1201
53024_53014,0.2985
48002_48003,0.4239
121168_121167,0.6276
114116_114112,0.2296
92132_99971559,0.124
122014_122003,0.3418
99971388_62054,0.3632
133152_134094,0.5622
106048_106050,0.105
146018_146012,0.103
176200_176112,0.1741
106220_106222,0.2042
74092_99972281,0.9851
99320_99438,0.1102
71100_71102,0.2328
107064_107068,0.1621
99972940_99972941,0.88
102156_102004,0.1498
130120_130122,0.213
122230_122234,0.1934
107090_107260,0.1008
99971225_99971226,0.4115
94140_999755,0.4164
191064_197040,0.2706
99970481_99970479,0.3777
120038_120040,0.1087
62005_62007,0.3233
35024_35027,0.2238
105349_105074,0.3423
99972589_99973199,0.1925
99972005_99971122,0.1656
67282_67162,0.2238
26036_26084,0.1421
99970348_99970350,0.8047
101466_100142,0.266
49026_49025,0.2728
61176_61178,0.6275
99970401_165038,0.4513
64042_64098,0.3054
99970151_99971596,0.3624
169048_169041,0.1472
14022_14024,0.2314
117121_117123,0.196
999981_99971587,0.4498
818_819,0.6673
66024_66602,0.1001
77234_77236,0.1597
115188_115186,0.102
71188_85338,0.195
126122_126080,0.2951
99973095_15084,0.2777
182029_182025,0.2665
99971058_10250,0.1641
77292_77294,0.3865
10148_99973246,0.788
108148_108076,0.2344
52056_52150,0.413
77031_77033,0.1573
80251_80396,0.301
191070_191007,0.7937
154006_154005,0.2507
105044_105251,0.3931
50020_99970334,1.1133
115112_115114,0.1051
66018_66020,0.1459
53034_53518,0.1955
39095_39096,0.2
99969917_150214,0.3285
73186_87084,0.4386
99972017_99972018,0.3438
99970457_99970455,0.6595
72056_86046,0.2192
126104_125218,0.1298
193_186,2.165
99972320_99971083,1.6135
62036_62038,0.1511
99973279_99973276,0.6675
