A,B,A_B
50973,50972,50973_50972
50963,50967,50963_50967
50972,50971,50972_50971
51029,51028,51029_51028
51028,201357,51028_201357
50828,50835,50828_50835
50835,50834,50835_50834
50605,50602,50605_50602
50610,50608,50610_50608
50568,50567,50568_50567
50567,50566,50567_50566
51009,50790,51009_50790
50754,50747,50754_50747
50747,50735,50747_50735
50612,50611,50612_50611
50924,51053,50924_51053
199564,50919,199564_50919
50920,199564,50920_199564
50753,50750,50753_50750
201357,201358,201357_201358
51046,201360,51046_201360
51136,51135,51136_51135
199680,10467,199680_10467
51139,199680,51139_199680
199679,51089,199679_51089
10469,199679,10469_199679
51144,51041,51144_51041
209094,50945,209094_50945
51771,209094,51771_209094
51435,51026,51435_51026
51437,51435,51437_51435
51039,51452,51039_51452
213019,50902,213019_50902
50952,213028,50952_213028
216638,51050,216638_51050
51048,216638,51048_216638
51454,216642,51454_216642
224854,51106,224854_51106
51859,224853,51859_224853
224853,224854,224853_224854
51897,224901,51897_224901
224903,50952,224903_50952
224931,50957,224931_50957
50958,224931,50958_224931
50957,50850,50957_50850
225301,51897,225301_51897
226829,50918,226829_50918
232154,50917,232154_50917
232726,50859,232726_50859
50861,232726,50861_232726
233071,51082,233071_51082
51077,233071,51077_233071
233072,51139,233072_51139
233424,50610,233424_50610
50618,233424,50618_233424
233432,50741,233432_50741
50619,233432,50619_233432
233439,50836,233439_50836
51000,233450,51000_233450
51005,233469,51005_233469
51006,233470,51006_233470
51005,233471,51005_233471
50915,233472,50915_233472
233473,50996,233473_50996
233477,51029,233477_51029
233494,213019,233494_213019
50903,233494,50903_233494
50926,233502,50926_233502
233504,51066,233504_51066
233508,51073,233508_51073
233521,51120,233521_51120
233525,51101,233525_51101
51090,233526,51090_233526
233526,233527,233526_233527
233616,50732,233616_50732
50737,233616,50737_233616
50734,50599,50734_50599
233661,50605,233661_50605
233662,50618,233662_50618
50619,233662,50619_233662
233663,50568,233663_50568
50602,233663,50602_233663
50836,233812,50836_233812
50996,233818,50996_233818
