stop_id,thrs,service_id,stop_lat,stop_lon,has_park,type,stop_name,x,y,stop_key,nodeid
6900,7.19194444444,A,33.7869499,-84.3877137,False,grta,W Peachtree St after 14 St,2229424.03,1377610.092,6900_071131,51950
6899,7.21666666667,A,33.7892148,-84.3876922,False,grta,W Peachtree St @ Arts Center MARTA Station,2229432.33,1378434.207,6899_071300,285785
6991,6.5,A,34.0751992,-83.9215887,True,grta,Hamilton Mill P&R,2370793.382,1482514.375,6991_063000,208416
6988,6.76666666667,A,34.0674946,-83.9828107,True,grta,Mall of Georgia P&R,2352260.263,1479671.897,6988_064600,126369
6904,7.56666666667,A,33.7661533,-84.3874776,False,grta,W Peachtree St @ Civic Center MARTA Station (northbound),2229479.549,1370042.694,6904_073400,51097
6894,7.63111111111,A,33.7721199,-84.3872631,False,grta,W Peachtree St @ Ponce de Leon Ave,2229549.381,1372213.614,6894_073752,51862
6896,7.67388888889,A,33.7760885,-84.3872416,False,grta,W Peachtree St @ 5th St,2229559.005,1373657.651,6896_074026,51879
6897,7.72194444444,A,33.780596,-84.387328,False,grta,W Peachtree St @ Peachtree Pl,2229536.263,1375297.849,6897_074319,51929
W Peachtree St @ 12th St,7.76305555556,A,33.78425259,-84.38782298,False,grta,W Peachtree St @ 12th St,2229388.721,1376628.693,W Peachtree St @ 12th St_074547,51931
6900,7.79194444444,A,33.7869499,-84.3877137,False,grta,W Peachtree St after 14 St,2229424.03,1377610.092,6900_074731,51950
6899,7.81666666667,A,33.7892148,-84.3876922,False,grta,W Peachtree St @ Arts Center MARTA Station,2229432.33,1378434.207,6899_074900,285785
6991,6.83333333333,A,34.0751992,-83.9215887,True,grta,Hamilton Mill P&R,2370793.382,1482514.375,6991_065000,208416
6988,7.1,A,34.0674946,-83.9828107,True,grta,Mall of Georgia P&R,2352260.263,1479671.897,6988_070600,126369
6904,7.93333333333,A,33.7661533,-84.3874776,False,grta,W Peachtree St @ Civic Center MARTA Station (northbound),2229479.549,1370042.694,6904_075600,51097
6894,7.99777777778,A,33.7721199,-84.3872631,False,grta,W Peachtree St @ Ponce de Leon Ave,2229549.381,1372213.614,6894_075952,51862
6896,8.04055555556,A,33.7760885,-84.3872416,False,grta,W Peachtree St @ 5th St,2229559.005,1373657.651,6896_080226,51879
6897,8.08861111111,A,33.780596,-84.387328,False,grta,W Peachtree St @ Peachtree Pl,2229536.263,1375297.849,6897_080519,51929
W Peachtree St @ 12th St,8.12972222222,A,33.78425259,-84.38782298,False,grta,W Peachtree St @ 12th St,2229388.721,1376628.693,W Peachtree St @ 12th St_080747,51931
6900,8.15861111111,A,33.7869499,-84.3877137,False,grta,W Peachtree St after 14 St,2229424.03,1377610.092,6900_080931,51950
6899,8.18333333333,A,33.7892148,-84.3876922,False,grta,W Peachtree St @ Arts Center MARTA Station,2229432.33,1378434.207,6899_081100,285785
6991,7.16666666667,A,34.0751992,-83.9215887,True,grta,Hamilton Mill P&R,2370793.382,1482514.375,6991_071000,208416
6988,7.45,A,34.0674946,-83.9828107,True,grta,Mall of Georgia P&R,2352260.263,1479671.897,6988_072700,126369
6904,8.3,A,33.7661533,-84.3874776,False,grta,W Peachtree St @ Civic Center MARTA Station (northbound),2229479.549,1370042.694,6904_081800,51097
6894,8.36444444444,A,33.7721199,-84.3872631,False,grta,W Peachtree St @ Ponce de Leon Ave,2229549.381,1372213.614,6894_082152,51862
6896,8.40722222222,A,33.7760885,-84.3872416,False,grta,W Peachtree St @ 5th St,2229559.005,1373657.651,6896_082426,51879
6897,8.45527777778,A,33.780596,-84.387328,False,grta,W Peachtree St @ Peachtree Pl,2229536.263,1375297.849,6897_082719,51929
W Peachtree St @ 12th St,8.49638888889,A,33.78425259,-84.38782298,False,grta,W Peachtree St @ 12th St,2229388.721,1376628.693,W Peachtree St @ 12th St_082947,51931
6900,8.52527777778,A,33.7869499,-84.3877137,False,grta,W Peachtree St after 14 St,2229424.03,1377610.092,6900_083131,51950
6899,8.55,A,33.7892148,-84.3876922,False,grta,W Peachtree St @ Arts Center MARTA Station,2229432.33,1378434.207,6899_083300,285785
6991,7.66666666667,A,34.0751992,-83.9215887,True,grta,Hamilton Mill P&R,2370793.382,1482514.375,6991_074000,208416
6988,7.95,A,34.0674946,-83.9828107,True,grta,Mall of Georgia P&R,2352260.263,1479671.897,6988_075700,126369
6904,8.8,A,33.7661533,-84.3874776,False,grta,W Peachtree St @ Civic Center MARTA Station (northbound),2229479.549,1370042.694,6904_084800,51097
6894,8.86444444444,A,33.7721199,-84.3872631,False,grta,W Peachtree St @ Ponce de Leon Ave,2229549.381,1372213.614,6894_085152,51862
6896,8.90722222222,A,33.7760885,-84.3872416,False,grta,W Peachtree St @ 5th St,2229559.005,1373657.651,6896_085426,51879
6897,8.95527777778,A,33.780596,-84.387328,False,grta,W Peachtree St @ Peachtree Pl,2229536.263,1375297.849,6897_085719,51929
W Peachtree St @ 12th St,8.99638888889,A,33.78425259,-84.38782298,False,grta,W Peachtree St @ 12th St,2229388.721,1376628.693,W Peachtree St @ 12th St_085947,51931
6900,9.02527777778,A,33.7869499,-84.3877137,False,grta,W Peachtree St after 14 St,2229424.03,1377610.092,6900_090131,51950
6899,9.05,A,33.7892148,-84.3876922,False,grta,W Peachtree St @ Arts Center MARTA Station,2229432.33,1378434.207,6899_090300,285785
STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85,6.01666666667,A,33.9842748,-84.0794849,True,grta,Sugarloaf Mills P&R,2323010.276,1449350.825,STOP_71ebbf8d-ee24-483b-9e2d-312bb8ddfa85_060100,302401
6904,6.68333333333,A,33.7661533,-84.3874776,False,grta,W Peachtree St @ Civic Center MARTA Station (northbound),2229479.549,1370042.694,6904_064100,51097
6894,6.73916666667,A,33.7721199,-84.3872631,False,grta,W Peachtree St @ Ponce de Leon Ave,2229549.381,1372213.614,6894_064421,51862
6896,6.77638888889,A,33.7760885,-84.3872416,False,grta,W Peachtree St @ 5th St,2229559.005,1373657.651,6896_064635,51879
6897,6.81777777778,A,33.780596,-84.387328,False,grta,W Peachtree St @ Peachtree Pl,2229536.263,1375297.849,6897_064904,51929
